consulta,clase
quería saber por qué no puedo acceder al boleto estudiantil ya que resido a más de 2000m de la universidad ,Boleto Universitario
"no puedo reseterar mi clave de acceso al sistema web ya que ayer me dieron una clave nueva para poder hacerlo, pero no puedo hacerlo ya que me pide primero la clave actual el cual no me lo acuerdo asi que es imposible lograrlo como puedo entonces acceder de otra manera sin que me pida la clave actual? por favor espero me respondan a la brevedad ya que necesito inscribirme para los finales de diciembre. atte liliana ",Problemas con la Clave
me dice que ya tengo el beneficio de la sube y no lo tengo quiero saber en que situación estoy  ,Boleto Universitario
"buenos días, quería consultar cuando me puedo anotar para el taller de febrero, yo estoy por reintegrarme a la universidad para licenciatura en administración me dijeron que tenia q hacer un taller, ya entregue toda la documentación que tenia que presentar y el formulario de reintegro. quería saber hasta cuando me puedo anotar y como lo puedo hacer via internet y si ya esta disponible mi usuario de legajo. ",Cursadas
buenas tardes quiero volver a estudiar en la facultad pero no recuerdo mi numero de legajo para entrar al portal y cambiarme de carrera a administración como hago?  gracias!  ,Cambio de Carrera
"hola buenas tardes, ya me prescribiere pero no me llego ningún mail.  espero su respuesta, gracias. ",Ingreso a la Universidad
hola queria saber si se inició el trámite para el boleto estudiantil. en la plataforma me aparece que ya tengo un beneficio asignado pero en la página de consultas me dic que no tienen ningún trámite con mis datos. ,Boleto Universitario
"buenas tarde, tengo un inconveniente al querer ingresar a mi cuenta de estudiante, para inscribirme a los examenes finales, cuando quiero ingresar surge un enunciado que dice que el estudiante no reune los requisitos, saludos.. ",Requisitos de Ingreso
"hola!  tenía un problema al enviar la solicitud de inscripción a cursadas. ingreso y figura que no cumplo con los requisitos. quisiera saber si me podrían brindar una solución, gracias.  ",Requisitos de Ingreso
hola yo ya me anote por web y presente los papeles pero no puedo ingresar con mi dni para saber que numero de comisión me corresponde. que debo hacer? ,Ingreso a la Universidad
"buenas, hoy intenté cambiar la contraseña de para entrar a mi situación académica y cuando completo el formulario para que me manden el mail nunca me llegó, lo hice 2 veces y me decía que ya se había mandado antes. paso más de 1 hora y nada, tengo 2 mail y no llego a ninguno de los 2. gracias ",Problemas con la Clave
"quiero anotarme en las materias, y me dice que no soy alumna regular. que me mandaron un email pero no me llegó nada. cómo puedo hacer ? ",Reincorporación
buenos dias;por favor necesito saber si es factible me envien via mail certificado de materias aprobadas sin notas es para presentar en mi trabajo.soy de moreno. la empresa es sintaryc saic  aguardo rta. saludos cordiales ,Pedido de Certificados
hola no me llego el correo electronico para continuar con la inscripcion...me podrian ayudar? gracias ,Ingreso a la Universidad
